POLLING PLACE,ADDRESS,CITY,STATE,ZIP,Cong,LEG,COUN,WARD AND PRECINCTS,# pp in location
PLEASANT VIEW GARDEN APARTMENTS,201 N AISQUITH ST,BALTIMORE,MD,21202,7,46,12,05-001,1
PUBLIC SAFETY TRAINING CENTER,3499 W NORTHERN PKWY  - ENTER ON MANHATTAN AVE,BALTIMORE,MD,21215,7,41,5,27-059,
PUBLIC SAFETY TRAINING CENTER,3500 W NORTHERN PKWY  - ENTER ON MANHATTAN AVE,BALTIMORE,MD,21215,7,41,5,27-060,2
RAY OF HOPE BAPTIST CHURCH,3000 PARKSIDE DR,BALTIMORE,MD,21214,3,45,3,27-002,1
REACH PARTNERSHIP  - COMM SPACE,2554 HARFORD ROAD,BALTIMORE,MD,21218,7,43,14,09-008,
REACH PARTNERSHIP  - COMM SPACE,2555 HARFORD ROAD,BALTIMORE,MD,21218,7,43,14,09-012,2
ROOSEVELT RECREATION CENTER,1221 W 36TH ST,BALTIMORE,MD,21211,3,40,7,13-003,1
RUSCOMBE GARDEN APTS,4800 YELLOWWOOD AVE,BALTIMORE,MD,21209,7,41,6,27-048,1
SCHOOL #10 MCHENRY ELEM,31 S SCHROEDER ST,BALTIMORE,MD,21223,7,40,9,18-002,1
SCHOOL #105 MORAVIA PARK ELEM,6001 FRANKFORD AVE,BALTIMORE,MD,21206,2,45,2,26-015,1
SCHOOL #11 EUTAW-MARSHBURN ELEM,1624 EUTAW PL,BALTIMORE,MD,21217,7,44A,11,14-004,1
SCHOOL #12 LAKELAND ELEM/MID,2921  STRANDEN RD (REC CTR),BALTIMORE,MD,21230,2,46,10,25-005,1
SCHOOL #122 - SAMUEL COLERIDGE-TAYLOR ELEM,505 W PRESTON ST - ENTER ON DRUID HILL AVE,BALTIMORE,MD,21201,7,44A,9,11-004,
SCHOOL #122 - SAMUEL COLERIDGE-TAYLOR ELEM,506 W PRESTON ST - ENTER ON DRUID HILL AVE,BALTIMORE,MD,21201,7,44A,10,17-001,
SCHOOL #122 - SAMUEL COLERIDGE-TAYLOR ELEM,507 W PRESTON ST - ENTER ON DRUID HILL AVE,BALTIMORE,MD,21201,7,44A,11,17-002,3
SCHOOL #13 TENCH TILGHMAN ELEM,599 N PATTERSON PARK AVE,BALTIMORE,MD,21205,7,45,13,07-002,
SCHOOL #13 TENCH TILGHMAN ELEM,600 N PATTERSON PARK AVE,BALTIMORE,MD,21205,7,45,13,07-003,2
SCHOOL #145 HAMILTON ELEM,800 POPLAR GROVE ST,BALTIMORE,MD,21216,7,40,9,16-009,1
SCHOOL #15 STADIUM SCHOOL,1399 EXETER HALL AVE,BALTIMORE,MD,21218,7,43,14,09-009,
SCHOOL #15 STADIUM SCHOOL,1400 EXETER HALL AVE,BALTIMORE,MD,21218,7,43,14,09-011,2
SCHOOL #150  MARY ANN WINTERLING ELEM,220 N BENTALOU ST,BALTIMORE,MD,21223,7,44A,9,20-001,1
SCHOOL #159 CHERRY HILL ELEM,801 BRIDGEVIEW ROAD,BALTIMORE,MD,21225,2,46,10,25-009,1
SCHOOL #16 JOHNSTON SQ ELEM,1100 VALLEY ST,BALTIMORE,MD,21202,7,45,12,10-001,
SCHOOL #16 JOHNSTON SQ ELEM,1101 VALLEY ST,BALTIMORE,MD,21202,7,45,12,10-004,2
SCHOOL #164 ARUNDEL ELEM,2400 ROUND RD,BALTIMORE,MD,21225,2,46,10,25-008,1
SCHOOL #177 GEORGE MCMECHEN JR/SR,4410 GARRISON BLVD,BALTIMORE,MD,21215,7,41,6,15-001,
SCHOOL #177 GEORGE MCMECHEN JR/SR,4411 GARRISON BLVD,BALTIMORE,MD,21215,7,41,6,28-003,2
SCHOOL #178 FRANCIS M. WOOD ALTERNATIVE HIGH,1001 W SARATOGA ST,BALTIMORE,MD,21223,7,40,9,18-001,1
SCHOOL #201 DICKEY HILL ELEM,5025 DICKEY HILL RD,BALTIMORE,MD,21207,7,41,8,28-009,1
SCHOOL #203 MARIE FARRING ELEM,299 PONTIAC AVE,BALTIMORE,MD,21225,2,46,10,25-011,
SCHOOL #203 MARIE FARRING ELEM,300 PONTIAC AVE,BALTIMORE,MD,21225,2,46,10,25-012,2
SCHOOL #21 HILTON ELEM,3301 CARLISLE AVE,BALTIMORE,MD,21216,7,41,7,15-007,1
SCHOOL #210 HAZELWOOD ELEM,4515 HAZELWOOD AVE,BALTIMORE,MD,21206,2,45,2,26-027,
SCHOOL #210 HAZELWOOD ELEM,4516 HAZELWOOD AVE,BALTIMORE,MD,21206,2,45,2,26-028,
SCHOOL #210 HAZELWOOD ELEM,4517 HAZELWOOD AVE,BALTIMORE,MD,21206,2,45,2,26-029,3
SCHOOL #211 GARDENVILLE ELEM,5299 BELAIR RD,BALTIMORE,MD,21206,2,45,2,26-026,
SCHOOL #211 GARDENVILLE ELEM,5300 BELAIR RD,BALTIMORE,MD,21206,2,45,2,27-006,2
SCHOOL #212 GARRETT HGTS ELEM,2799 AILSA AVE,BALTIMORE,MD,21214,7,43,3,27-016,
SCHOOL #212 GARRETT HGTS ELEM,2800 AILSA AVE,BALTIMORE,MD,21214,7,43,3,27-017,2
SCHOOL #214 GUILFORD MIDDLE,4519 YORK RD,BALTIMORE,MD,21212,7,43,4,27-036,
SCHOOL #214 GUILFORD MIDDLE,4520 YORK RD,BALTIMORE,MD,21212,7,43,4,27-037,2
