,LEG02 Precinct Name,,Voting District (VTD),VTD Type,Census Population,Total Population,Adjusted One Race Alone,Adjusted White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone ,Native Hawiian Other Pacific Islander Alone,Adjusted Some Other Race Alone ,Adjusted Two or More Races,Adjusted Hispanic or Latino (Of Any Race),Adjusted Total Person 18+
2407,24045 Baltimore City Precinct 11-007,,11-007,Adj,"2,024","2,028","1,780","1,197",414,2,152,0,15,106,142,"1,966"
2403,24043 Baltimore City Precinct 12-001,,12-001,Adj,"4,631","4,634","4,163","2,597",291,0,"1,245",0,30,255,216,"4,218"
2407,24043 Baltimore City Precinct 12-002,,12-002,Adj,314,315,280,192,71,0,15,0,2,20,15,252
2407,24043 Baltimore City Precinct 12-003,,12-003,Adj,"1,136","1,137","1,032",579,112,0,336,0,5,28,77,"1,034"
2407,24043 Baltimore City Precinct 12-004,,12-004,Adj,"4,408","4,410","3,692","1,746",392,2,"1,518",1,33,264,454,"4,227"
2407,24043 Baltimore City Precinct 12-005,,12-005,Adj,"2,255","2,257","1,972","1,195",249,2,508,0,18,108,177,"2,095"
2407,24043 Baltimore City Precinct 12-006,,12-006,Adj,"1,560","1,561","1,279",839,197,3,232,1,7,114,168,"1,473"
2407,24043 Baltimore City Precinct 12-007,,12-007,Adj,"1,762","1,787","1,541",537,954,2,41,1,6,91,155,"1,493"
2407,24043 Baltimore City Precinct 12-008,,12-008,Adj,"2,146","2,152","1,855","1,052",632,7,142,4,18,104,193,"1,954"
2407,24043 Baltimore City Precinct 12-009,,12-009,Adj,"2,363","2,377","2,035","1,304",545,5,161,3,17,105,237,"2,137"
2407,24043 Baltimore City Precinct 12-010,,12-010,Adj,"2,376","2,397","2,109",547,"1,484",4,62,2,10,89,199,"2,093"
2407,24043 Baltimore City Precinct 12-011,,12-011,Adj,"1,387","1,405","1,267",255,960,3,48,0,1,62,76,"1,154"
2407,24045 Baltimore City Precinct 12-012,,12-012,Adj,"2,293","2,294","2,018",732,"1,177",4,93,1,11,123,153,"2,000"
2407,24040 Baltimore City Precinct 12-013,,12-013,Unadj,229,229,170,46,14,4,106,0,0,21,38,220
2403,24041 Baltimore City Precinct 13-001,,13-001,Adj,"2,257","2,258","2,124","1,386",233,1,483,1,20,61,73,"2,059"
2403,24040 Baltimore City Precinct 13-002,,13-002,Adj,"1,544","1,547","1,438","1,118",220,1,95,0,4,56,53,"1,408"
2403,24040 Baltimore City Precinct 13-003,,13-003,Adj,"2,694","2,701","2,434","2,164",160,6,92,0,12,137,130,"2,379"
2403,24040 Baltimore City Precinct 13-004,,13-004,Adj,"1,552","1,556","1,412","1,186",74,3,135,0,14,63,81,"1,302"
2403,24040 Baltimore City Precinct 13-005,,13-005,Adj,"1,131","1,136","1,029",813,168,10,32,0,6,49,58,994
2407,24040 Baltimore City Precinct 13-006,,13-006,Adj,837,858,812,34,769,4,0,0,5,30,16,689
