"","BALTIMORE, MD 21206",,,,,,
26017-ORCHARD RIDGE @ WOODSIDE,4340 ORCHARD RIDGE,469,19,2,76,10,576
"","BLVD, BALTIMORE, MD",,,,,,
"",21213,,,,,,
26018-SCHOOL #248 SINCLAIR LANE ELEM,"3880 SINCLAIR LN,",851,48,2,115,9,1025
"","BALTIMORE, MD 21213",,,,,,
26019-ENOCH PRATT FREE LIBRARY,"3801 ERDMAN AVE,",1128,49,3,184,27,1391
HERRING RUN BRANCH,"BALTIMORE, MD 21213",,,,,,
26020-SCHOOL #231 THE BELAIR-EDISON,"3536 BREHMS LN,",598,32,1,103,15,749
SCHOOL,"BALTIMORE, MD 21213",,,,,,
26021-SCHOOL #231 THE BELAIR-EDISON,"3536 BREHMS LN,",757,32,4,119,10,922
SCHOOL,"BALTIMORE, MD 21213",,,,,,
26022-JERUSALEM EV LUTHERAN CHURCH,"4605 BELAIR RD,",594,36,1,104,9,744
"","BALTIMORE, MD 21206",,,,,,
26023-JERUSALEM EV LUTHERAN CHURCH,"4605 BELAIR RD,",917,44,2,127,27,1117
"","BALTIMORE, MD 21206",,,,,,
26024-SCHOOL #374  VANGUARD,5001 SINCLAIR LANE,1714,67,2,217,29,2029
COLLEGIATE MIDDLE,(REAR) ENTER ON,,,,,,
"","TRUESDALE AVE. ,",,,,,,
"","BALTIMORE, MD 21206",,,,,,
26025-SCHOOL #374  VANGUARD,5001 SINCLAIR LANE,1195,69,2,219,21,1506
COLLEGIATE MIDDLE,(REAR) ENTER ON,,,,,,
"","TRUESDALE AVE. ,",,,,,,
"","BALTIMORE, MD 21206",,,,,,
26026-SCHOOL #211 GARDENVILLE ELEM,"5300 BELAIR RD,",1377,122,7,227,19,1752
"","BALTIMORE, MD 21206",,,,,,
26027-SCHOOL #210 HAZELWOOD ELEM,"4517 HAZELWOOD AVE,",1049,73,4,167,21,1314
"","BALTIMORE, MD 21206",,,,,,
26028-SCHOOL #210 HAZELWOOD ELEM,"4517 HAZELWOOD AVE,",962,52,2,122,9,1147
"","BALTIMORE, MD 21206",,,,,,
26029-SCHOOL #210 HAZELWOOD ELEM,"4517 HAZELWOOD AVE,",3238,168,8,496,47,3957
"","BALTIMORE, MD 21206",,,,,,
26030-ENGINE HOUSE #54,"5821 BELAIR RD,",732,89,3,128,13,965
"","BALTIMORE, MD 21206",,,,,,
26031-ENGINE HOUSE #54,"5821 BELAIR RD,",500,109,6,160,15,790
"","BALTIMORE, MD 21206",,,,,,
26032-SCHOOL #231 THE BELAIR-EDISON,"3536 BREHMS LN,",1398,61,1,246,30,1736
SCHOOL,"BALTIMORE, MD 21213",,,,,,
26033-SCHOOL #248 SINCLAIR LANE ELEM,"3880 SINCLAIR LN,",1278,48,1,162,25,1514
"","BALTIMORE, MD 21213",,,,,,
"*26034-GREEKTOWN SQUARE AND EVENT","700 QUAIL ST, BALTIMORE,",0,0,0,0,0,0
CENTER,MD 21224,,,,,,
27001-JERUSALEM EV LUTHERAN CHURCH,"4605 BELAIR RD,",1682,158,4,316,36,2196
"","BALTIMORE, MD 21206",,,,,,
27002-RAY OF HOPE BAPTIST CHURCH,"3000 PARKSIDE DR,",486,39,2,68,8,603
"","BALTIMORE, MD 21214",,,,,,
27003-ENGINE HOUSE #42,"4522 HARFORD RD,",549,61,2,84,13,709
"","BALTIMORE, MD 21214",,,,,,
27004-HARFORD CENTER FOR SENIOR,"4920 HARFORD ROAD,",424,42,0,98,3,567
CITZENS,"BALTIMORE, MD 21214",,,,,,
27005-SCHOOL #346 CITY NEIGHBORS,"5609 SEFTON  AVE - REAR,",1768,203,9,357,29,2366
HAMILTON,"BALTIMORE, MD 21214",,,,,,
27006-SCHOOL #211 GARDENVILLE ELEM,"5300 BELAIR RD,",2391,178,4,426,39,3038
"","BALTIMORE, MD 21206",,,,,,
27007-SCHOOL #235 GLENMOUNT,"6211 WALTHER AVE,",956,70,5,177,13,1221
ELEM/MID,"BALTIMORE, MD 21206",,,,,,
27008-SCHOOL #235 GLENMOUNT,"6211 WALTHER AVE,",1827,229,10,373,27,2466
ELEM/MID,"BALTIMORE, MD 21206",,,,,,
27009-ENGINE HOUSE #56,"6512 HARFORD RD,",1083,176,1,214,16,1490
"","BALTIMORE, MD 21234",,,,,,
27010-OPEN BIBLE BAPTIST CHURCH,"3902 OVERLEA AVE,",454,141,2,134,10,741
"","BALTIMORE, MD 21206",,,,,,
27011-WOODHOME REC CTR,"7310 MOYER AVE,",1611,366,7,426,37,2447
"","BALTIMORE, MD 21234",,,,,,
27012-NORTH HARFORD REC CTR,"6800 HAMLET AVE,",378,111,4,115,9,617
"","BALTIMORE, MD 21234",,,,,,
27013-PROFESSIONAL DEVELOPMENT,"2500 E NORTHERN PKWY,",1998,215,11,446,30,2700
CENTER,"BALTIMORE, MD 21214",,,,,,
