precinct,Dem,Rep,grn,lib,wcp,bar,Una,others,total
27-022,2233,72,2,3,0,0,193,15,2518
,,,,,,,,,
27-023,499,10,0,0,0,0,60,1,570
,,,,,,,,,
27-024,532,17,0,1,0,0,56,3,609
,,,,,,,,,
27-025,1098,44,1,0,1,0,100,6,1250
ACADEMY,,,,,,,,,
27-026,667,28,2,1,1,0,86,3,788
DISABILITIES,,,,,,,,,
,,,,,,,,,
27-027,1427,31,3,1,0,0,149,11,1622
DISABILITIES,,,,,,,,,
,,,,,,,,,
27-028,1113,30,2,1,0,0,100,7,1253
CHINQUAPIN,,,,,,,,,
,,,,,,,,,
27-029,781,20,0,2,0,0,85,3,891
CHINQUAPIN,,,,,,,,,
,,,,,,,,,
27-030,1233,28,5,2,0,0,125,10,1403
,,,,,,,,,
27-031,1884,57,4,4,1,0,207,13,2170
SCH,,,,,,,,,
27-033,1911,105,4,3,0,1,263,17,2304
CHINQUAPIN,,,,,,,,,
,,,,,,,,,
27-034,1183,46,4,1,1,1,146,5,1387
,,,,,,,,,
27-035,2365,79,3,3,0,1,295,32,2778
CHINQUAPIN,,,,,,,,,
,,,,,,,,,
27-036,751,28,1,2,1,0,119,9,911
,,,,,,,,,
27-048,755,34,1,3,0,0,72,6,871
,,,,,,,,,
27-051,214,15,2,0,0,0,18,1,250
CENTER AND HOSPITAL,,,,,,,,,
27-052,2202,65,2,2,1,0,247,12,2531
,,,,,,,,,
,,,,,,,,,
27-053,1310,55,2,2,2,0,151,14,1536
ELEM,,,,,,,,,
27-054,446,19,3,0,0,0,69,8,545
,,,,,,,,,
27-055,637,30,0,1,0,1,64,7,740
ELEM,,,,,,,,,
27-056,777,32,1,0,0,0,75,10,895
,,,,,,,,,
27-057,1697,63,0,1,0,0,171,14,1946
,,,,,,,,,
27-058,520,19,0,0,0,0,54,2,595
,,,,,,,,,
,,,,,,,,,
27-059,758,35,1,1,0,0,94,8,897
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
27-060,1265,112,1,2,0,0,145,9,1534
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
27-061,630,38,1,1,0,1,84,4,759
HIGH,,,,,,,,,
28-001,1098,50,1,6,0,0,147,13,1315
,,,,,,,,,
28-002,1830,66,3,1,0,0,188,14,2102
,,,,,,,,,
28-003,371,18,0,0,0,0,44,1,434
JR/SR,,,,,,,,,
28-004,567,21,1,2,0,0,75,4,670
,,,,,,,,,
28-005,1368,41,0,0,2,1,144,5,1561
,,,,,,,,,
28-006,2006,64,2,6,1,0,251,18,2348
,,,,,,,,,
28-007,921,45,0,3,0,0,104,10,1083
,,,,,,,,,
28-008,1231,42,3,1,1,0,135,17,1430
,,,,,,,,,
28-009,1524,85,1,4,0,0,227,18,1859
,,,,,,,,,
28-010,1682,93,0,0,0,0,193,12,1980
ELEM,,,,,,,,,
28-011,1643,69,1,4,0,0,179,14,1910
ELEM,,,,,,,,,
28-012,1134,102,1,4,0,2,164,10,1417
ELEM,,,,,,,,,
28-013,1138,39,3,2,0,0,122,13,1317
,,,,,,,,,
,,,,,,,,,
28-014,452,28,1,3,0,0,62,2,548
ELEM,,,,,,,,,
28-015,1407,159,2,5,1,1,266,11,1852
