t Dist/Prec & Polling Place,,Polling Place Address,DEM,REP,GRN,LIB,UNA,OTHERS,TOTAL
t Type : CONGRESSIONAL DISTRICT,,,,,,,,,
ESSIONAL DISTRICT 2,,,,,,,,,
26018-SCHOOL #248 SINCLAIR LANE ELEM,"3880 SINCLAIR LN,",930,44,2,1,70,3,,1050
,"BALTIMORE, MD 21213",,,,,,,,
26021-SCHOOL #231 BREHMS LANE ELEM,"3536 BREHMS LN,",754,27,3,5,66,4,,859
,"BALTIMORE, MD 21213",,,,,,,,
27002-RAY OF HOPE BAPTIST CHURCH,"3000 PARKSIDE DR,",441,54,9,3,78,3,,588
,"BALTIMORE, MD 21214",,,,,,,,
27003-ENGINE HOUSE #42,"4522 HARFORD RD,",455,55,3,1,68,1,,583
,"BALTIMORE, MD 21214",,,,,,,,
27004-HARFORD CTR FOR SR CITIZENS,"4920 HARFORD RD,",416,74,2,1,76,1,,570
,"BALTIMORE, MD 21214",,,,,,,,
27005-SCHOOL #346 CITY NEIGHBORS,"5609 SEFTON  AVE - REAR,",1650,261,15,12,287,12,,2237
HAMILTON,"BALTIMORE, MD 21214",,,,,,,,
27009-ENGINE HOUSE #56,"6512 HARFORD RD,",958,174,6,5,170,5,,1318
,"BALTIMORE, MD 21234",,,,,,,,
27010-OPEN BIBLE BAPTIST CHURCH,"3902 OVERLEA AVE,",405,170,2,10,100,0,,687
,"BALTIMORE, MD 21206",,,,,,,,
27011-WOODHOME REC CTR,"7310 MOYER AVE,",1453,433,5,12,348,15,,2266
,"BALTIMORE, MD 21234",,,,,,,,
27012-NORTH HARFORD REC CTR,"6800 HAMLET AVE,",317,120,3,4,88,3,,535
,"BALTIMORE, MD 21234",,,,,,,,
27013-SCHOOL #339 FRIENDSHIP ACAD,"2500 E NORTHERN PKWY,",2126,238,7,7,314,11,,2703
OF ENGIN & TECH,"BALTIMORE, MD 21214",,,,,,,,
27020-SCHOOL #245 LEITH WALK ELEM,"1235 SHERWOOD AVENUE,",1891,101,3,4,189,7,,2195
SCH,"BALTIMORE, MD 21239",,,,,,,,
27032-NORTHSIDE BAPTIST CHURCH,"1100 E NORTHERN PKWY,",1766,165,12,9,257,14,,2223
,"BALTIMORE, MD 21239",,,,,,,,
27037-SCHOOL #214 GUILFORD MIDDLE,"4520 YORK RD,",448,107,1,2,91,2,,651
,"BALTIMORE, MD 21212",,,,,,,,
27038-GOVANS BOUNDARY UMC,"5210 YORK RD,",943,141,13,2,216,8,,1323
,"BALTIMORE, MD 21212",,,,,,,,
27039-ST MARYS CHURCH OF GOVANS,"5502 YORK RD,",527,146,5,3,101,4,,786
,"BALTIMORE, MD 21212",,,,,,,,
27040-GRACE UNITED METHODIST,"5407 N CHARLES ST,",910,277,4,8,221,2,,1422
CHURCH,"BALTIMORE, MD 21210",,,,,,,,
27041-GRACE UNITED METHODIST,"5407 N CHARLES ST,",1197,299,14,5,241,7,,1763
CHURCH,"BALTIMORE, MD 21210",,,,,,,,
27042-CORNER COMMUNITY CENTER,"5802 ROLAND AVE,",1092,273,7,9,269,7,,1657
,"BALTIMORE, MD 21210",,,,,,,,
27043-SCHOOL #407  WESTERN HIGH,"4600 FALLS RD,",550,80,2,2,98,1,,733
,"BALTIMORE, MD 21209",,,,,,,,
27044-SCHOOL #233 ROLAND PARK,"5207 ROLAND AVE,",861,150,3,5,125,8,,1152
MIDDLE,"BALTIMORE, MD 21210",,,,,,,,
27045-ST DAVIDS CHURCH,"4700 ROLAND AVE,",1208,186,12,3,247,3,,1659
,"BALTIMORE, MD 21210",,,,,,,,
27046-BOLTON STREET SYNAGOGUE,"212 W COLDSPRING LN,",608,95,6,3,93,5,,810
