OBJECTID,CSA2010,regvote10,regvote12,regvote14,regvote16,regvote18,Shape__Area,Shape__Length
45,Pimlico/Arlington/Hilltop,77.17618576,78.87091449,75.75657533,76.05370283,75.75657533,30400962.0054321,24725.9340692885
46,Poppleton/The Terraces/Hollins Market,74.34002112,83.28933474,77.08553326,78.85427475,81.3093981,9302012.99908447,12334.0275347781
47,Sandtown-Winchester/Harlem Park,79.64905933,75.723589,75.7959479,77.33357549,74.53871201,23672092.8675537,20987.1433065683
48,South Baltimore,76.48804329,76.92441962,92.51178216,99.35416579,102.7055333,46353935.425415,68440.0258268455
49,Southeastern,59.7340536,55.53708706,57.36546852,60.02493501,57.51090796,111251478.471619,102291.480548186
50,Southern Park Heights,79.75441445,73.82788715,79.05419119,80.23138046,80.91130505,27876227.5906372,24052.2213721279
51,Southwest Baltimore,70.09352959,70.49984667,66.94265563,69.45722103,66.82766023,37766068.8375854,28355.5635814291
52,The Waverlies,87.15657067,87.68619662,88.69579609,90.88050127,92.85004965,20383750.5442505,18733.8268798014
53,Upton/Druid Heights,79.06659389,80.96342795,73.21233624,77.49727368,78.67085153,16976622.3380737,19389.3078211578
54,Washington Village/Pigtown,67.7478721,68.99010812,74.48815275,81.09040856,82.76972625,39343262.0379028,36962.2600946233
55,Westport/Mount Winans/Lakeland,62.30845771,62.22885572,64.47761194,66.12935066,64.85572139,45494092.9506226,42573.1244163481
